date,state,cases_deaths,difference,remark
Jan 2020,Johor,7,7,cases
Feb 2020,Johor,1,-6,cases
Mar 2020,Johor,343,342,cases
Apr 2020,Johor,312,-31,cases
May 2020,Johor,12,-300,cases
Jun 2020,Johor,16,4,cases
Jul 2020,Johor,51,35,cases
Aug 2020,Johor,9,-42,cases
Sep 2020,Johor,16,7,cases
Oct 2020,Johor,139,123,cases
Nov 2020,Johor,473,334,cases
Dec 2020,Johor,4355,3882,cases
Jan 2021,Johor,15824,11469,cases
Feb 2021,Johor,14399,-1425,cases
Mar 2021,Johor,5298,-9101,cases
Apr 2021,Johor,4122,-1176,cases
May 2021,Johor,13006,8884,cases
Jun 2021,Johor,12441,-565,cases
Jul 2021,Johor,19859,7418,cases
Aug 2021,Johor,47964,28105,cases
Sep 2021,Johor,57198,9234,cases
End,Johor,0,0,cases
Jan 2020,Kedah,1,1,cases
Feb 2020,Kedah,2,1,cases
Mar 2020,Kedah,74,72,cases
Apr 2020,Kedah,18,-56,cases
May 2020,Kedah,1,-17,cases
Jun 2020,Kedah,1,0,cases
Jul 2020,Kedah,12,11,cases
Aug 2020,Kedah,107,95,cases
Sep 2020,Kedah,151,44,cases
Oct 2020,Kedah,1757,1606,cases
Nov 2020,Kedah,439,-1318,cases
Dec 2020,Kedah,461,22,cases
Jan 2021,Kedah,2762,2301,cases
Feb 2021,Kedah,1825,-937,cases
Mar 2021,Kedah,824,-1001,cases
Apr 2021,Kedah,1489,665,cases
May 2021,Kedah,8985,7496,cases
Jun 2021,Kedah,6360,-2625,cases
Jul 2021,Kedah,20362,14002,cases
Aug 2021,Kedah,53411,33049,cases
Sep 2021,Kedah,35793,-17618,cases
End,Kedah,0,0,cases
Jan 2020,Kelantan,0,0,cases
Feb 2020,Kelantan,0,0,cases
Mar 2020,Kelantan,131,131,cases
Apr 2020,Kelantan,24,-107,cases
May 2020,Kelantan,1,-23,cases
Jun 2020,Kelantan,1,0,cases
Jul 2020,Kelantan,3,2,cases
Aug 2020,Kelantan,0,-3,cases
Sep 2020,Kelantan,4,4,cases
Oct 2020,Kelantan,16,12,cases
Nov 2020,Kelantan,180,164,cases
Dec 2020,Kelantan,398,218,cases
Jan 2021,Kelantan,2493,2095,cases
Feb 2021,Kelantan,1631,-862,cases
Mar 2021,Kelantan,1368,-263,cases
Apr 2021,Kelantan,7582,6214,cases
May 2021,Kelantan,13956,6374,cases
Jun 2021,Kelantan,7023,-6933,cases
Jul 2021,Kelantan,8183,1160,cases
Aug 2021,Kelantan,34532,26349,cases
Sep 2021,Kelantan,37782,3250,cases
End,Kelantan,0,0,cases
Jan 2020,Malacca,0,0,cases
Feb 2020,Malacca,0,0,cases
Mar 2020,Malacca,52,52,cases
Apr 2020,Malacca,146,94,cases
May 2020,Malacca,21,-125,cases
Jun 2020,Malacca,37,16,cases
Jul 2020,Malacca,2,-35,cases
Aug 2020,Malacca,4,2,cases
Sep 2020,Malacca,4,0,cases
Oct 2020,Malacca,45,41,cases
Nov 2020,Malacca,76,31,cases
Dec 2020,Malacca,838,762,cases
Jan 2021,Malacca,2350,1512,cases
Feb 2021,Malacca,2400,50,cases
Mar 2021,Malacca,567,-1833,cases
Apr 2021,Malacca,832,265,cases
May 2021,Malacca,4712,3880,cases
Jun 2021,Malacca,6329,1617,cases
Jul 2021,Malacca,12951,6622,cases
Aug 2021,Malacca,17192,4241,cases
Sep 2021,Malacca,9787,-7405,cases
End,Malacca,0,0,cases
Jan 2020,Negeri Sembilan,0,0,cases
Feb 2020,Negeri Sembilan,2,2,cases
Mar 2020,Negeri Sembilan,179,177,cases
Apr 2020,Negeri Sembilan,332,153,cases
May 2020,Negeri Sembilan,345,13,cases
Jun 2020,Negeri Sembilan,167,-178,cases
Jul 2020,Negeri Sembilan,4,-163,cases
Aug 2020,Negeri Sembilan,5,1,cases
Sep 2020,Negeri Sembilan,15,10,cases
Oct 2020,Negeri Sembilan,558,543,cases
Nov 2020,Negeri Sembilan,3308,2750,cases
Dec 2020,Negeri Sembilan,2913,-395,cases
Jan 2021,Negeri Sembilan,3822,909,cases
Feb 2021,Negeri Sembilan,4159,337,cases
Mar 2021,Negeri Sembilan,1459,-2700,cases
Apr 2021,Negeri Sembilan,1482,23,cases
May 2021,Negeri Sembilan,7555,6073,cases
Jun 2021,Negeri Sembilan,18575,11020,cases
Jul 2021,Negeri Sembilan,26611,8036,cases
Aug 2021,Negeri Sembilan,19985,-6626,cases
Sep 2021,Negeri Sembilan,5768,-14217,cases
End,Negeri Sembilan,0,0,cases
Jan 2020,Pahang,0,0,cases
Feb 2020,Pahang,0,0,cases
Mar 2020,Pahang,102,102,cases
Apr 2020,Pahang,192,90,cases
May 2020,Pahang,67,-125,cases
Jun 2020,Pahang,4,-63,cases
Jul 2020,Pahang,5,1,cases
Aug 2020,Pahang,0,-5,cases
Sep 2020,Pahang,9,9,cases
Oct 2020,Pahang,15,6,cases
Nov 2020,Pahang,9,-6,cases
Dec 2020,Pahang,962,953,cases
Jan 2021,Pahang,1619,657,cases
Feb 2021,Pahang,804,-815,cases
Mar 2021,Pahang,478,-326,cases
Apr 2021,Pahang,912,434,cases
May 2021,Pahang,4399,3487,cases
Jun 2021,Pahang,4089,-310,cases
Jul 2021,Pahang,10770,6681,cases
Aug 2021,Pahang,19697,8927,cases
Sep 2021,Pahang,20584,887,cases
