date,state,cases_deaths,rank,remark
Jan 2020,Johor,7,1,cases
Jan 2020,Kedah,1,2,cases
Jan 2020,Kelantan,0,3,cases
Jan 2020,Malacca,0,3,cases
Jan 2020,Negeri Sembilan,0,3,cases
Jan 2020,Pahang,0,3,cases
Jan 2020,Perak,0,3,cases
Jan 2020,Perlis,0,3,cases
Jan 2020,Penang,0,3,cases
Jan 2020,Sabah,0,3,cases
Jan 2020,Sarawak,0,3,cases
Jan 2020,Selangor,0,3,cases
Jan 2020,Terengganu,0,3,cases
Jan 2020,Kuala Lumpur,0,3,cases
Jan 2020,Labuan,0,3,cases
Jan 2020,Putrajaya,0,3,cases
Feb 2020,Johor,1,5,cases
Feb 2020,Kedah,2,3,cases
Feb 2020,Kelantan,0,6,cases
Feb 2020,Malacca,0,6,cases
Feb 2020,Negeri Sembilan,2,3,cases
Feb 2020,Pahang,0,6,cases
Feb 2020,Perak,0,6,cases
Feb 2020,Perlis,0,6,cases
Feb 2020,Penang,0,6,cases
Feb 2020,Sabah,0,6,cases
Feb 2020,Sarawak,0,6,cases
Feb 2020,Selangor,7,1,cases
Feb 2020,Terengganu,0,6,cases
Feb 2020,Kuala Lumpur,5,2,cases
Feb 2020,Labuan,0,6,cases
Feb 2020,Putrajaya,0,6,cases
Mar 2020,Johor,343,3,cases
Mar 2020,Kedah,74,11,cases
Mar 2020,Kelantan,131,8,cases
Mar 2020,Malacca,52,12,cases
Mar 2020,Negeri Sembilan,179,6,cases
Mar 2020,Pahang,102,9,cases
Mar 2020,Perak,189,5,cases
Mar 2020,Perlis,13,15,cases
Mar 2020,Penang,93,10,cases
Mar 2020,Sabah,206,4,cases
Mar 2020,Sarawak,156,7,cases
Mar 2020,Selangor,692,1,cases
Mar 2020,Terengganu,47,13,cases
Mar 2020,Kuala Lumpur,427,2,cases
Mar 2020,Labuan,10,16,cases
Mar 2020,Putrajaya,27,14,cases
Apr 2020,Johor,312,5,cases
Apr 2020,Kedah,18,14,cases
